acc,bal_acc,n,subject,rung
0.7777777777777778,0.7648809523809523,45,10,8-transfer-imag-to-exec
0.6444444444444445,0.6442687747035574,45,11,8-transfer-imag-to-exec
0.7555555555555555,0.7708333333333333,45,12,8-transfer-imag-to-exec
0.6451612903225806,0.64375,31,13,8-transfer-imag-to-exec
0.6444444444444445,0.6472332015810276,45,14,8-transfer-imag-to-exec
0.6976744186046512,0.6926406926406926,43,15,8-transfer-imag-to-exec
0.5111111111111111,0.5177865612648221,45,16,8-transfer-imag-to-exec
0.5111111111111111,0.5138339920948617,45,18,8-transfer-imag-to-exec
0.8372093023255814,0.8347826086956522,43,19,8-transfer-imag-to-exec
0.5777777777777777,0.5863095238095238,45,20,8-transfer-imag-to-exec
0.6666666666666666,0.6666666666666667,36,21,8-transfer-imag-to-exec
0.5454545454545454,0.5527950310559007,44,23,8-transfer-imag-to-exec
0.575,0.575,40,24,8-transfer-imag-to-exec
0.6888888888888889,0.6867588932806324,45,25,8-transfer-imag-to-exec
0.4772727272727273,0.4668737060041408,44,28,8-transfer-imag-to-exec
0.8222222222222222,0.8260869565217391,45,29,8-transfer-imag-to-exec
0.6,0.6027667984189724,45,30,8-transfer-imag-to-exec
0.6888888888888889,0.6946640316205533,45,31,8-transfer-imag-to-exec
