acc,bal_acc,n,subject,rung,model,task
0.7777777777777778,0.7708333333333333,45,12,1-within-subject,ts_logreg,executed
0.5806451612903226,0.5791666666666666,31,13,1-within-subject,ts_logreg,executed
0.6666666666666666,0.6669960474308301,45,14,1-within-subject,ts_logreg,executed
0.627906976744186,0.6244588744588744,43,15,1-within-subject,ts_logreg,executed
0.5777777777777777,0.5741106719367589,45,16,1-within-subject,ts_logreg,executed
0.4888888888888889,0.48616600790513836,45,18,1-within-subject,ts_logreg,executed
0.7209302325581395,0.7195652173913043,43,19,1-within-subject,ts_logreg,executed
0.6444444444444445,0.625,45,20,1-within-subject,ts_logreg,executed
0.5555555555555556,0.5555555555555556,36,21,1-within-subject,ts_logreg,executed
0.5454545454545454,0.5465838509316769,44,23,1-within-subject,ts_logreg,executed
0.625,0.625,40,24,1-within-subject,ts_logreg,executed
0.6222222222222222,0.6215415019762847,45,25,1-within-subject,ts_logreg,executed
0.5454545454545454,0.5424430641821947,44,28,1-within-subject,ts_logreg,executed
0.7777777777777778,0.7786561264822134,45,29,1-within-subject,ts_logreg,executed
0.7333333333333333,0.733201581027668,45,30,1-within-subject,ts_logreg,executed
0.7111111111111111,0.7094861660079052,45,31,1-within-subject,ts_logreg,executed
0.8,0.7964426877470356,45,32,1-within-subject,ts_logreg,executed
0.5777777777777777,0.5654761904761905,45,33,1-within-subject,ts_logreg,executed
0.6666666666666666,0.6666666666666667,42,34,1-within-subject,ts_logreg,executed
0.7777777777777778,0.7648809523809523,45,35,1-within-subject,ts_logreg,executed
0.5111111111111111,0.5049407114624506,45,36,1-within-subject,ts_logreg,executed
0.5476190476190477,0.5476190476190477,42,37,1-within-subject,ts_logreg,executed
0.7111111111111111,0.7075098814229248,45,39,1-within-subject,ts_logreg,executed
0.5111111111111111,0.5098814229249011,45,40,1-within-subject,ts_logreg,executed
0.5476190476190477,0.5476190476190477,42,41,1-within-subject,ts_logreg,executed
0.9777777777777777,0.9772727272727273,45,42,1-within-subject,ts_logreg,executed
0.7045454545454546,0.7070393374741201,44,43,1-within-subject,ts_logreg,executed
0.7,0.7070707070707071,40,44,1-within-subject,ts_logreg,executed
0.5333333333333333,0.5326086956521738,45,45,1-within-subject,ts_logreg,executed
0.9555555555555556,0.9545454545454546,45,46,1-within-subject,ts_logreg,executed
0.5777777777777777,0.5741106719367589,45,47,1-within-subject,ts_logreg,executed
0.8947368421052632,0.8947368421052632,38,48,1-within-subject,ts_logreg,executed
0.7954545454545454,0.7954545454545454,44,49,1-within-subject,ts_logreg,executed
0.8222222222222222,0.8273809523809523,45,50,1-within-subject,ts_logreg,executed
0.6190476190476191,0.6190476190476191,42,51,1-within-subject,ts_logreg,executed
0.7555555555555555,0.7529644268774703,45,52,1-within-subject,ts_logreg,executed
0.8444444444444444,0.8438735177865613,45,53,1-within-subject,ts_logreg,executed
0.9555555555555556,0.9555335968379447,45,54,1-within-subject,ts_logreg,executed
0.6888888888888889,0.6897233201581028,45,55,1-within-subject,ts_logreg,executed
0.5555555555555556,0.5543478260869565,45,58,1-within-subject,ts_logreg,executed
0.7045454545454546,0.7028985507246377,44,59,1-within-subject,ts_logreg,executed
0.6904761904761905,0.6904761904761905,42,60,1-within-subject,ts_logreg,executed
0.7906976744186046,0.7880434782608696,43,61,1-within-subject,ts_logreg,executed
0.5333333333333333,0.5355731225296443,45,62,1-within-subject,ts_logreg,executed
0.6904761904761905,0.6904761904761905,42,64,1-within-subject,ts_logreg,executed
0.7333333333333333,0.7341897233201581,45,65,1-within-subject,ts_logreg,executed
0.5111111111111111,0.5059288537549407,45,67,1-within-subject,ts_logreg,executed
0.4888888888888889,0.49209486166007904,45,68,1-within-subject,ts_logreg,executed
0.6,0.6007905138339921,45,69,1-within-subject,ts_logreg,executed
0.7777777777777778,0.7786561264822134,45,70,1-within-subject,ts_logreg,executed
0.6666666666666666,0.6666666666666666,42,72,1-within-subject,ts_logreg,executed
0.5238095238095238,0.5238095238095237,42,73,1-within-subject,ts_logreg,executed
